"scenario","method_a","method_b","n","delta_cor_mean","delta_cor_ci_lo","delta_cor_ci_hi","delta_rmse_mean","delta_rmse_ci_lo","delta_rmse_ci_hi","delta_sign_acc_mean","delta_sign_acc_ci_lo","delta_sign_acc_ci_hi","delta_abs_slope_bias_mean","delta_abs_slope_bias_ci_lo","delta_abs_slope_bias_ci_hi","delta_abs_intercept_bias_mean","delta_abs_intercept_bias_ci_lo","delta_abs_intercept_bias_ci_hi","hrf_regime","ar_regime","isi_regime","amp_regime","cell","comparison"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default","fmrilss_lss",40,0.01427265142947,-0.0165103760365643,0.0410961420302959,-1.55246285726917,-2.2274423422223,-1.11909216967165,0.00902777777777777,-0.026195987654321,0.0462384259259259,0.791370040720782,0.363831451884098,0.943221503952239,-0.0237819066938373,-0.117601991421926,0.0518486914246326,"nominal","ar_iid","isi_dense","amp_none","h1_r1_c1","st_default - fmrilss_lss"
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default","fmrilss_lss",40,0.0266074273618977,0.00388731144151391,0.0598075352365355,-1.55723726335157,-2.41138110035665,-1.08890509728516,0.00966435185185186,-0.0261381172839506,0.0462384259259259,0.775626979783354,0.128412457668227,0.960425921306865,-0.0182982435350243,-0.119369725277229,0.0619767276899365,"nominal","ar_iid","isi_mid","amp_mod","h1_r1_c2","st_default - fmrilss_lss"
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default","fmrilss_lss",40,0.055707703201144,-0.0109230633065397,0.122340730479379,-1.25536333056797,-1.54121926622826,-0.915521575954232,0.0170717592592593,-0.0222415123456789,0.0486111111111111,0.603184520460421,0.348415612760548,0.725439492814306,-0.0112108252137115,-0.0941890614275022,0.0821976689285027,"nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3","st_default - fmrilss_lss"
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default","fmrilss_lss",40,0.0168505155180689,-0.0222076681606921,0.049420509908211,-1.97627429457252,-2.72379716248465,-1.33322747230463,0.0101851851851852,-0.0161458333333333,0.0385609567901235,0.78054533892634,0.495561802524081,0.95119045725271,-0.0207503278918021,-0.120027012244677,0.0564254786816933,"nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1","st_default - fmrilss_lss"
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default","fmrilss_lss",40,0.0322837635678655,-0.00399491679569898,0.105952497491837,-1.83790986118294,-2.44976202197361,-1.39316774151348,0.0078125,-0.0315586419753087,0.0501350308641975,0.780834336180608,0.448909944376238,0.933526731602924,-0.0271014029948344,-0.168150631409624,0.082362570996578,"nominal","ar_mod","isi_mid","amp_high","h1_r2_c2","st_default - fmrilss_lss"
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default","fmrilss_lss",40,0.0151867786664207,-0.0189945909605807,0.0481967072050726,-1.40654860541196,-1.59272456066835,-1.08188734165254,0.0086226851851852,-0.0399691358024691,0.0408179012345679,0.669353904580798,0.436995822455897,0.770562693538688,-0.014856205237591,-0.106991481569683,0.0762834159627433,"nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3","st_default - fmrilss_lss"
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default","fmrilss_lss",40,0.0262256920248,-0.236854900693238,0.105408337384256,-2.37767122930166,-3.07786974387009,-1.54085751799925,-0.0140046296296296,-0.535108024691358,0.0578125,0.772617643648301,0.431187698023053,0.948010964772955,-0.0331635897686942,-0.139290935394757,0.0674916849100033,"nominal","ar_high","isi_dense","amp_high","h1_r3_c1","st_default - fmrilss_lss"
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default","fmrilss_lss",40,0.025424980931411,-0.0104116165620643,0.0560722529586015,-1.76202901825348,-2.29698332055406,-1.38606679573698,0.010474537037037,-0.0268711419753086,0.0408757716049382,0.715665820209726,0.550145387745143,0.819997617228445,-0.0223431074707655,-0.086321525720201,0.0526557062896294,"nominal","ar_high","isi_mid","amp_none","h1_r3_c2","st_default - fmrilss_lss"
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default","fmrilss_lss",40,0.034566114168266,-0.00692725377839574,0.0808350714425259,-1.93681802519786,-2.68896713841446,-1.42781308776715,0.0104166666666667,-0.0223572530864198,0.0478202160493827,0.776064594677171,0.542937762419902,0.941583722554058,-0.0605895405444272,-0.222936639892078,0.00620078205355074,"nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3","st_default - fmrilss_lss"
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default","fmrilss_lss",40,-0.00412985433278539,-0.0468974771133019,0.0295212080876495,-1.76073083064402,-2.33002652768516,-1.3677464752952,0.0160879629629629,-0.0322916666666667,0.0562307098765432,0.678288806615857,0.360693470762946,0.959127996289769,-0.0222293933558978,-0.0896512666660927,0.0474415266645197,"lag2_widen1p5","ar_iid","isi_dense","amp_none","h2_r1_c1","st_default - fmrilss_lss"
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","st_default","fmrilss_lss",40,-0.00231455051987334,-0.0390666829847177,0.0363047649727128,-1.4979144419502,-2.21396441670795,-1.09954431071223,0.00734953703703703,-0.020042438271605,0.0385609567901234,0.70308593301227,0.354298805563343,0.921791173238088,-0.024291339371145,-0.145077697257892,0.0479172261485777,"lag2_widen1p5","ar_iid","isi_mid","amp_mod","h2_r1_c2","st_default - fmrilss_lss"
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","st_default","fmrilss_lss",40,0.0135320827802988,-0.0701576896293419,0.11242325125897,-1.22231165848533,-1.59505920561842,-0.912684139301131,0.00179398148148149,-0.0347222222222222,0.0231481481481481,0.565814646662017,0.419904022439904,0.73363006891962,-0.0259279691792466,-0.141412425711304,0.09416557459798,"lag2_widen1p5","ar_iid","isi_sparse","amp_high","h2_r1_c3","st_default - fmrilss_lss"
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","st_default","fmrilss_lss",40,-0.00493648797057564,-0.0590901750185433,0.0422156738864893,-2.07411054608927,-2.87760340728213,-1.33809936969763,0.012037037037037,-0.0215663580246913,0.0531828703703704,0.713198612589354,0.440433201962611,0.930342483161861,-0.0227624919327932,-0.112918824102677,0.0527168300343576,"lag2_widen1p5","ar_mod","isi_dense","amp_mod","h2_r2_c1","st_default - fmrilss_lss"
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","st_default","fmrilss_lss",40,-0.00246060801141831,-0.0506863193276446,0.0494977576366657,-1.78950191223353,-2.38939195010258,-1.23749652081614,0.00231481481481482,-0.0353973765432098,0.0377700617283951,0.72207320111966,0.476267989638821,0.93177292453682,-0.0196101075530943,-0.124609067123516,0.0379598918466167,"lag2_widen1p5","ar_mod","isi_mid","amp_high","h2_r2_c2","st_default - fmrilss_lss"
"h2_r2_c3__hrf_lag2_widen1p5__ar_mod__isi_sparse__amp_none","st_default","fmrilss_lss",40,-0.00429338623317863,-0.0339201074767852,0.02065957708763,-1.50731805783479,-1.96330447628757,-1.1833375380103,0.00653935185185185,-0.0208333333333334,0.0347222222222222,0.718367265157841,0.492302510854507,0.933646786240592,-0.0259284942947163,-0.0755053752942458,0.024058541410666,"lag2_widen1p5","ar_mod","isi_sparse","amp_none","h2_r2_c3","st_default - fmrilss_lss"
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","st_default","fmrilss_lss",40,-0.0247863185853396,-0.217114304444111,0.0652088184059198,-2.54605665589265,-3.55913741731018,-1.68094386793359,-0.0163773148148148,-0.536246141975309,0.0408757716049382,0.720969338414617,0.413974280523677,0.936176282763172,-0.0366182753450477,-0.130056474428782,0.0460442907830911,"lag2_widen1p5","ar_high","isi_dense","amp_high","h2_r3_c1","st_default - fmrilss_lss"
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","st_default","fmrilss_lss",40,-0.00824723468728462,-0.0430966954361322,0.0285622514957498,-2.01342146042006,-2.44979040534875,-1.50238315081549,0.00509259259259259,-0.0408757716049383,0.0455054012345679,0.747275630832303,0.453446191247223,0.943687519766355,-0.0252974187552251,-0.130633655231568,0.0089363613741094,"lag2_widen1p5","ar_high","isi_mid","amp_none","h2_r3_c2","st_default - fmrilss_lss"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","st_default","fmrilss_lss",40,-0.00131257442052425,-0.0382128711302347,0.0396215007722886,-1.88190120470504,-2.29652336875256,-1.44128426084741,0.00248842592592593,-0.0238811728395062,0.025462962962963,0.736885076779155,0.457646073168075,0.94411483401671,-0.0521091823372314,-0.150747433055399,0.0332032829133117,"lag2_widen1p5","ar_high","isi_sparse","amp_mod","h2_r3_c3","st_default - fmrilss_lss"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default","fmrilss_oasis_best",40,0.0138123324591882,-0.0165758034757396,0.0406171272484297,-1.40499332256109,-2.01899080681663,-0.998382029575823,0.00787037037037037,-0.0269868827160494,0.0408757716049383,0.777765662906353,0.44182288640244,0.945292049501561,-0.0271215212871479,-0.107296045460812,0.0172778264879224,"nominal","ar_iid","isi_dense","amp_none","h1_r1_c1","st_default - fmrilss_oasis_best"
