"scenario","method_a","method_b","n","delta_cor_mean","delta_cor_ci_lo","delta_cor_ci_hi","delta_rmse_mean","delta_rmse_ci_lo","delta_rmse_ci_hi","delta_sign_acc_mean","delta_sign_acc_ci_lo","delta_sign_acc_ci_hi","delta_abs_slope_bias_mean","delta_abs_slope_bias_ci_lo","delta_abs_slope_bias_ci_hi","delta_abs_intercept_bias_mean","delta_abs_intercept_bias_ci_lo","delta_abs_intercept_bias_ci_hi","hrf_regime","ar_regime","isi_regime","amp_regime","cell","comparison"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default","fmrilss_lss",40,0.0187036932801125,-0.0170722484083442,0.0530145676394772,-1.63713483179113,-2.20323124163853,-1.24442224839992,0.0133680555555555,-0.0130979938271605,0.0546489197530864,0.810816303053923,0.425065105421329,0.955335950523751,-0.0265064030391926,-0.0998419264202959,0.0563867036012854,"nominal","ar_iid","isi_dense","amp_none","h1_r1_c1","st_default - fmrilss_lss"
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default","fmrilss_lss",40,0.0266074273618977,0.00388731144151391,0.0598075352365355,-1.55723726335157,-2.41138110035665,-1.08890509728516,0.00966435185185186,-0.0261381172839506,0.0462384259259259,0.775626979783354,0.128412457668227,0.960425921306865,-0.0182982435350243,-0.119369725277229,0.0619767276899365,"nominal","ar_iid","isi_mid","amp_mod","h1_r1_c2","st_default - fmrilss_lss"
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default","fmrilss_lss",40,0.055707703201144,-0.0109230633065397,0.122340730479379,-1.25536333056797,-1.54121926622826,-0.915521575954232,0.0170717592592593,-0.0222415123456789,0.0486111111111111,0.603184520460421,0.348415612760548,0.725439492814306,-0.0112108252137115,-0.0941890614275022,0.0821976689285027,"nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3","st_default - fmrilss_lss"
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default","fmrilss_lss",40,0.0168505155180689,-0.0222076681606921,0.049420509908211,-1.97627429457252,-2.72379716248465,-1.33322747230463,0.0101851851851852,-0.0161458333333333,0.0385609567901235,0.78054533892634,0.495561802524081,0.95119045725271,-0.0207503278918021,-0.120027012244677,0.0564254786816933,"nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1","st_default - fmrilss_lss"
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default","fmrilss_lss",40,0.0322837635678655,-0.00399491679569898,0.105952497491837,-1.83790986118294,-2.44976202197361,-1.39316774151348,0.0078125,-0.0315586419753087,0.0501350308641975,0.780834336180608,0.448909944376238,0.933526731602924,-0.0271014029948344,-0.168150631409624,0.082362570996578,"nominal","ar_mod","isi_mid","amp_high","h1_r2_c2","st_default - fmrilss_lss"
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default","fmrilss_lss",40,0.0151867786664207,-0.0189945909605807,0.0481967072050726,-1.40654860541196,-1.59272456066835,-1.08188734165254,0.0086226851851852,-0.0399691358024691,0.0408179012345679,0.669353904580798,0.436995822455897,0.770562693538688,-0.014856205237591,-0.106991481569683,0.0762834159627433,"nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3","st_default - fmrilss_lss"
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default","fmrilss_lss",40,0.0262256920248,-0.236854900693238,0.105408337384256,-2.37767122930166,-3.07786974387009,-1.54085751799925,-0.0140046296296296,-0.535108024691358,0.0578125,0.772617643648301,0.431187698023053,0.948010964772955,-0.0331635897686942,-0.139290935394757,0.0674916849100033,"nominal","ar_high","isi_dense","amp_high","h1_r3_c1","st_default - fmrilss_lss"
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default","fmrilss_lss",40,0.025424980931411,-0.0104116165620643,0.0560722529586015,-1.76202901825348,-2.29698332055406,-1.38606679573698,0.010474537037037,-0.0268711419753086,0.0408757716049382,0.715665820209726,0.550145387745143,0.819997617228445,-0.0223431074707655,-0.086321525720201,0.0526557062896294,"nominal","ar_high","isi_mid","amp_none","h1_r3_c2","st_default - fmrilss_lss"
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default","fmrilss_lss",40,0.034566114168266,-0.00692725377839574,0.0808350714425259,-1.93681802519786,-2.68896713841446,-1.42781308776715,0.0104166666666667,-0.0223572530864198,0.0478202160493827,0.776064594677171,0.542937762419902,0.941583722554058,-0.0605895405444272,-0.222936639892078,0.00620078205355074,"nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3","st_default - fmrilss_lss"
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default","fmrilss_lss",40,-0.00412985433278539,-0.0468974771133019,0.0295212080876495,-1.76073083064402,-2.33002652768516,-1.3677464752952,0.0160879629629629,-0.0322916666666667,0.0562307098765432,0.678288806615857,0.360693470762946,0.959127996289769,-0.0222293933558978,-0.0896512666660927,0.0474415266645197,"lag2_widen1p5","ar_iid","isi_dense","amp_none","h2_r1_c1","st_default - fmrilss_lss"
